pelvis_spine1-x;pelvis_spine1-y;pelvis_spine1-z;spine1-x;spine1-y;spine1-z;pelvis_left_femur-x;pelvis_left_femur-y;pelvis_left_femur-z;left_femur_tibia-x;left_femur_tibia-y;left_femur_tibia-z;pelvis-x;pelvis-y;pelvis-z;pelvis_left_femur-x;pelvis_left_femur-y;pelvis_left_femur-z;right_clavicle-x;right_clavicle-y;right_clavicle-z;right_humerus-x;right_humerus-y;right_humerus-z;left_manubrium-x;left_manubrium-y;left_manubrium-z;left_clavicle-x;left_clavicle-y;left_clavicle-z;pelvis_right_femur-x;pelvis_right_femur-y;pelvis_right_femur-z;right_femur_tibia-x;right_femur_tibia-y;right_femur_tibia-z;right_humerus-x;right_humerus-y;right_humerus-z;right_radius-x;right_radius-y;right_radius-z;left_clavicle-x;left_clavicle-y;left_clavicle-z;left_humerus-x;left_humerus-y;left_humerus-z;left_femur_tibia-x;left_femur_tibia-y;left_femur_tibia-z;left_tibia_foot-x;left_tibia_foot-y;left_tibia_foot-z;right_manubrium-x;right_manubrium-y;right_manubrium-z;right_clavicle-x;right_clavicle-y;right_clavicle-z;right_femur_tibia-x;right_femur_tibia-y;right_femur_tibia-z;right_tibia_foot-x;right_tibia_foot-y;right_tibia_foot-z;pelvis-x;pelvis-y;pelvis-z;pelvis_right_femur-x;pelvis_right_femur-y;pelvis_right_femur-z;spine1-x;spine1-y;spine1-z;spine2-x;spine2-y;spine2-z;pelvis-x;pelvis-y;pelvis-z;pelvis_spine1-x;pelvis_spine1-y;pelvis_spine1-z;left_humerus-x;left_humerus-y;left_humerus-z;left_radius-x;left_radius-y;left_radius-z;spine2-x;spine2-y;spine2-z;neck-x;neck-y;neck-z
0.161;10.597;3.282;0.294;12.876;3.912;1.191;9.532;3.415;0.736;5.349;2.112;0.139;9.932;3.554;1.191;9.532;3.415;-1.674;14.459;4.248;-2.429;11.821;3.426;0.838;14.401;4.645;2.189;14.606;4.307;-0.959;9.652;3.54;-0.544;5.723;5.486;-2.429;11.821;3.426;-2.779;9.348;3.104;2.189;14.606;4.307;2.928;11.786;3.854;0.736;5.349;2.112;0.455;2.444;-1.76;-0.305;14.413;4.574;-1.674;14.459;4.248;-0.544;5.723;5.486;0.125;0.956;5.704;0.139;9.932;3.554;-0.959;9.652;3.54;0.294;12.876;3.912;0.322;15.014;3.808;0.139;9.932;3.554;0.161;10.597;3.282;2.928;11.786;3.854;2.799;9.426;4.549;0.322;15.014;3.808;0.363;15.757;5.37
0.182;10.647;3.879;0.297;12.942;4.455;1.211;9.585;4.031;0.774;5.337;2.952;0.16;9.988;4.163;1.211;9.585;4.031;-1.683;14.527;4.79;-2.405;11.875;3.985;0.831;14.48;5.168;2.183;14.673;4.828;-0.938;9.708;4.154;-0.51;5.673;5.868;-2.405;11.875;3.985;-2.75;9.401;3.657;2.183;14.673;4.828;2.9;11.848;4.376;0.774;5.337;2.952;0.583;2.827;-1.193;-0.311;14.481;5.102;-1.683;14.527;4.79;-0.51;5.673;5.868;0.157;0.901;5.784;0.16;9.988;4.163;-0.938;9.708;4.154;0.297;12.942;4.455;0.308;15.079;4.327;0.16;9.988;4.163;0.182;10.647;3.879;2.9;11.848;4.376;2.808;9.486;5.069;0.308;15.079;4.327;0.343;15.832;5.884
0.2;10.745;4.485;0.301;13.053;5.007;1.233;9.69;4.666;0.827;5.365;3.936;0.18;10.091;4.783;1.233;9.69;4.666;-1.689;14.639;5.351;-2.39;11.968;4.593;0.831;14.602;5.699;2.182;14.78;5.348;-0.918;9.808;4.776;-0.486;5.661;6.198;-2.39;11.968;4.593;-2.726;9.49;4.291;2.182;14.78;5.348;2.873;11.955;4.86;0.827;5.365;3.936;0.73;3.226;-0.415;-0.312;14.595;5.643;-1.689;14.639;5.351;-0.486;5.661;6.198;0.161;0.907;5.755;0.18;10.091;4.783;-0.918;9.808;4.776;0.301;13.053;5.007;0.296;15.188;4.857;0.18;10.091;4.783;0.2;10.745;4.485;2.873;11.955;4.86;2.81;9.581;5.515;0.296;15.188;4.857;0.332;15.949;6.411
0.214;10.882;5.073;0.309;13.199;5.556;1.256;9.842;5.288;0.904;5.458;5.058;0.198;10.235;5.386;1.256;9.842;5.288;-1.68;14.782;5.935;-2.387;12.087;5.268;0.847;14.753;6.23;2.193;14.917;5.854;-0.896;9.94;5.376;-0.481;5.695;6.472;-2.387;12.087;5.268;-2.716;9.601;5.039;2.193;14.917;5.854;2.855;12.097;5.296;0.904;5.458;5.058;0.894;3.507;0.618;-0.297;14.742;6.195;-1.68;14.782;5.935;-0.481;5.695;6.472;0.139;0.979;5.696;0.198;10.235;5.386;-0.896;9.94;5.376;0.309;13.199;5.556;0.295;15.333;5.394;0.198;10.235;5.386;0.214;10.882;5.073;2.855;12.097;5.296;2.81;9.704;5.878;0.295;15.333;5.394;0.348;16.09;6.949
0.222;11.03;5.619;0.319;13.35;6.086;1.281;10.016;5.868;1.014;5.638;6.274;0.214;10.391;5.947;1.281;10.016;5.868;-1.655;14.926;6.525;-2.391;12.206;6.011;0.88;14.904;6.741;2.217;15.057;6.326;-0.874;10.075;5.931;-0.499;5.751;6.683;-2.391;12.206;6.011;-2.707;9.709;5.918;2.217;15.057;6.326;2.847;12.248;5.688;1.014;5.638;6.274;1.064;3.493;1.925;-0.264;14.897;6.739;-1.655;14.926;6.525;-0.499;5.751;6.683;0.107;1.078;5.675;0.214;10.391;5.947;-0.874;10.075;5.931;0.319;13.35;6.086;0.306;15.485;5.92;0.214;10.391;5.947;0.222;11.03;5.619;2.847;12.248;5.688;2.814;9.835;6.187;0.306;15.485;5.92;0.399;16.227;7.481
0.227;11.147;6.12;0.329;13.467;6.586;1.307;10.163;6.396;1.162;5.893;7.469;0.231;10.513;6.459;1.307;10.163;6.396;-1.62;15.039;7.088;-2.385;12.295;6.784;0.922;15.018;7.218;2.243;15.169;6.757;-0.849;10.171;6.438;-0.526;5.795;6.825;-2.385;12.295;6.784;-2.67;9.795;6.889;2.243;15.169;6.757;2.845;12.367;6.058;1.162;5.893;7.469;1.22;3.097;3.507;-0.222;15.019;7.254;-1.62;15.039;7.088;-0.526;5.795;6.825;0.09;1.15;5.696;0.231;10.513;6.459;-0.849;10.171;6.438;0.329;13.467;6.586;0.325;15.601;6.415;0.231;10.513;6.459;0.227;11.147;6.12;2.845;12.367;6.058;2.828;9.943;6.496;0.325;15.601;6.415;0.47;16.327;7.979
0.236;11.197;6.597;0.342;13.516;7.065;1.333;10.235;6.885;1.333;6.139;8.506;0.25;10.565;6.94;1.333;10.235;6.885;-1.584;15.094;7.607;-2.369;12.341;7.524;0.96;15.066;7.675;2.268;15.221;7.176;-0.823;10.202;6.916;-0.534;5.806;6.926;-2.369;12.341;7.524;-2.598;9.855;7.861;2.268;15.221;7.176;2.849;12.424;6.44;1.333;6.139;8.506;1.348;2.463;5.345;-0.183;15.075;7.738;-1.584;15.094;7.607;-0.534;5.806;6.926;0.104;1.184;5.722;0.25;10.565;6.94;-0.823;10.202;6.916;0.342;13.516;7.065;0.347;15.649;6.884;0.25;10.565;6.94;0.236;11.197;6.597;2.849;12.424;6.44;2.859;9.994;6.844;0.347;15.649;6.884;0.536;16.367;8.447
0.257;11.167;7.075;0.366;13.486;7.543;1.359;10.211;7.364;1.501;6.276;9.338;0.274;10.535;7.416;1.359;10.211;7.364;-1.547;15.086;8.091;-2.35;12.339;8.2;0.997;15.036;8.141;2.296;15.197;7.623;-0.797;10.165;7.388;-0.516;5.783;7.052;-2.35;12.339;8.2;-2.512;9.892;8.776;2.296;15.197;7.623;2.861;12.406;6.856;1.501;6.276;9.338;1.455;1.865;7.324;-0.145;15.051;8.214;-1.547;15.086;8.091;-0.516;5.783;7.052;0.144;1.192;5.743;0.274;10.535;7.416;-0.797;10.165;7.388;0.366;13.486;7.543;0.381;15.618;7.352;0.274;10.535;7.416;0.257;11.167;7.075;2.861;12.406;6.856;2.901;9.97;7.22;0.381;15.618;7.352;0.59;16.34;8.911
0.294;11.065;7.573;0.405;13.385;8.037;1.386;10.097;7.859;1.638;6.272;10.028;0.304;10.43;7.91;1.386;10.097;7.859;-1.502;15.017;8.563;-2.324;12.286;8.83;1.04;14.935;8.631;2.338;15.1;8.111;-0.77;10.07;7.877;-0.487;5.719;7.255;-2.324;12.286;8.83;-2.422;9.904;9.642;2.338;15.1;8.111;2.882;12.316;7.302;1.638;6.272;10.028;1.557;1.487;9.248;-0.103;14.954;8.698;-1.502;15.017;8.563;-0.487;5.719;7.255;0.18;1.181;5.777;0.304;10.43;7.91;-0.77;10.07;7.877;0.405;13.385;8.037;0.43;15.516;7.836;0.304;10.43;7.91;0.294;11.065;7.573;2.882;12.316;7.302;2.947;9.87;7.586;0.43;15.516;7.836;0.635;16.25;9.39
0.344;10.911;8.103;0.457;13.233;8.554;1.422;9.929;8.393;1.727;6.168;10.665;0.345;10.276;8.439;1.422;9.929;8.393;-1.446;14.902;9.044;-2.28;12.192;9.445;1.093;14.785;9.142;2.394;14.948;8.628;-0.734;9.93;8.4;-0.464;5.616;7.551;-2.28;12.192;9.445;-2.324;9.894;10.476;2.394;14.948;8.628;2.912;12.175;7.765;1.727;6.168;10.665;1.632;1.325;10.906;-0.05;14.81;9.199;-1.446;14.902;9.044;-0.464;5.616;7.551;0.182;1.166;5.82;0.345;10.276;8.439;-0.734;9.93;8.4;0.457;13.233;8.554;0.492;15.363;8.338;0.345;10.276;8.439;0.344;10.911;8.103;2.912;12.175;7.765;2.993;9.718;7.925;0.492;15.363;8.338;0.683;16.116;9.884
0.407;10.737;8.679;0.519;13.065;9.101;1.476;9.75;8.984;1.768;6.019;11.308;0.4;10.104;9.019;1.476;9.75;8.984;-1.374;14.768;9.555;-2.209;12.076;10.062;1.162;14.621;9.67;2.464;14.775;9.159;-0.68;9.765;8.973;-0.447;5.487;7.948;-2.209;12.076;10.062;-2.213;9.868;11.274;2.464;14.775;9.159;2.952;12.015;8.238;1.768;6.019;11.308;1.645;1.245;12.151;0.019;14.652;9.725;-1.374;14.768;9.555;-0.447;5.487;7.948;0.142;1.19;5.848;0.4;10.104;9.019;-0.68;9.765;8.973;0.519;13.065;9.101;0.565;15.191;8.858;0.4;10.104;9.019;0.407;10.737;8.679;2.952;12.015;8.238;3.041;9.553;8.257;0.565;15.191;8.858;0.744;15.973;10.391
0.484;10.58;9.31;0.595;12.916;9.686;1.555;9.602;9.638;1.78;5.871;11.967;0.477;9.952;9.658;1.555;9.602;9.638;-1.284;14.648;10.112;-2.11;11.966;10.687;1.25;14.479;10.223;2.553;14.617;9.709;-0.601;9.607;9.605;-0.419;5.358;8.458;-2.11;11.966;10.687;-2.088;9.827;12.018;2.553;14.617;9.709;3.006;11.868;8.739;1.78;5.871;11.967;1.607;1.128;12.961;0.107;14.517;10.284;-1.284;14.648;10.112;-0.419;5.358;8.458;0.081;1.321;5.874;0.477;9.952;9.658;-0.601;9.607;9.605;0.595;12.916;9.686;0.651;15.038;9.404;0.477;9.952;9.658;0.484;10.58;9.31;3.006;11.868;8.739;3.096;9.408;8.638;0.651;15.038;9.404;0.829;15.855;10.919
0.576;10.474;9.991;0.687;12.818;10.311;1.658;9.516;10.342;1.793;5.748;12.619;0.576;9.85;10.349;1.658;9.516;10.342;-1.175;14.568;10.715;-1.988;11.888;11.313;1.358;14.386;10.811;2.66;14.503;10.29;-0.497;9.489;10.294;-0.37;5.25;9.105;-1.988;11.888;11.313;-1.958;9.778;12.688;2.66;14.503;10.29;3.079;11.757;9.299;1.793;5.748;12.619;1.57;0.969;13.411;0.216;14.434;10.882;-1.175;14.568;10.715;-0.37;5.25;9.105;0.025;1.601;5.982;0.576;9.85;10.349;-0.497;9.489;10.294;0.687;12.818;10.311;0.756;14.933;9.987;0.576;9.85;10.349;0.576;10.474;9.991;3.079;11.757;9.299;3.161;9.301;9.128;0.756;14.933;9.987;0.943;15.786;11.481
0.681;10.434;10.703;0.793;12.785;10.969;1.778;9.5;11.069;1.826;5.66;13.227;0.69;9.816;11.07;1.778;9.5;11.069;-1.053;14.546;11.353;-1.854;11.857;11.928;1.48;14.356;11.436;2.783;14.453;10.912;-0.377;9.437;11.019;-0.297;5.178;9.9;-1.854;11.857;11.928;-1.83;9.73;13.278;2.783;14.453;10.912;3.177;11.696;9.939;1.826;5.66;13.227;1.572;0.834;13.623;0.339;14.415;11.514;-1.053;14.546;11.353;-0.297;5.178;9.9;-0.013;1.994;6.294;0.69;9.816;11.07;-0.377;9.437;11.019;0.793;12.785;10.969;0.876;14.894;10.606;0.69;9.816;11.07;0.681;10.434;10.703;3.177;11.696;9.939;3.249;9.241;9.758;0.876;14.894;10.606;1.078;15.776;12.081
0.793;10.464;11.42;0.907;12.819;11.644;1.904;9.547;11.791;1.883;5.608;13.762;0.812;9.85;11.794;1.904;9.547;11.791;-0.927;14.582;12.009;-1.715;11.876;12.52;1.606;14.391;12.089;2.912;14.469;11.57;-0.25;9.458;11.754;-0.204;5.151;10.833;-1.715;11.876;12.52;-1.71;9.701;13.79;2.912;14.469;11.57;3.298;11.692;10.656;1.883;5.608;13.762;1.608;0.767;13.711;0.466;14.458;12.169;-0.927;14.582;12.009;-0.204;5.151;10.833;-0.029;2.402;6.88;0.812;9.85;11.794;-0.25;9.458;11.754;0.907;12.819;11.644;1.005;14.922;11.254;0.812;9.85;11.794;0.793;10.464;11.42;3.298;11.692;10.656;3.363;9.233;10.517;1.005;14.922;11.254;1.216;15.822;12.716
0.909;10.548;12.119;1.025;12.905;12.318;2.028;9.641;12.486;1.958;5.589;14.212;0.935;9.939;12.499;2.028;9.641;12.486;-0.805;14.666;12.666;-1.576;11.939;13.078;1.728;14.478;12.756;3.039;14.544;12.248;-0.125;9.541;12.476;-0.095;5.178;11.875;-1.576;11.939;13.078;-1.597;9.698;14.229;3.039;14.544;12.248;3.437;11.74;11.427;1.958;5.589;14.212;1.651;0.771;13.753;0.588;14.55;12.831;-0.805;14.666;12.666;-0.095;5.178;11.875;-0.024;2.716;7.732;0.935;9.939;12.499;-0.125;9.541;12.476;1.025;12.905;12.318;1.132;15.005;11.915;0.935;9.939;12.499;0.909;10.548;12.119;3.437;11.74;11.427;3.503;9.277;11.379;1.132;15.005;11.915;1.346;15.912;13.373
1.023;10.665;12.784;1.142;13.023;12.974;2.148;9.759;13.14;2.041;5.597;14.577;1.055;10.059;13.169;2.148;9.759;13.14;-0.691;14.779;13.308;-1.44;12.03;13.595;1.841;14.595;13.419;3.16;14.658;12.929;-0.006;9.663;13.168;0.03;5.262;12.983;-1.44;12.03;13.595;-1.495;9.719;14.597;3.16;14.658;12.929;3.591;11.825;12.232;2.041;5.597;14.577;1.678;0.826;13.787;0.701;14.668;13.483;-0.691;14.779;13.308;0.03;5.262;12.983;0.007;2.859;8.806;1.055;10.059;13.169;-0.006;9.663;13.168;1.142;13.023;12.974;1.253;15.123;12.573;1.055;10.059;13.169;1.023;10.665;12.784;3.591;11.825;12.232;3.662;9.364;12.319;1.253;15.123;12.573;1.46;16.026;14.034
1.133;10.789;13.409;1.253;13.147;13.6;2.259;9.879;13.748;2.121;5.619;14.863;1.169;10.186;13.798;2.259;9.879;13.748;-0.589;14.897;13.922;-1.312;12.13;14.067;1.943;14.718;14.062;3.27;14.785;13.597;0.105;9.796;13.822;0.168;5.401;14.116;-1.312;12.13;14.067;-1.407;9.754;14.899;3.27;14.785;13.597;3.753;11.926;13.055;2.121;5.619;14.863;1.679;0.903;13.826;0.801;14.787;14.113;-0.589;14.897;13.922;0.168;5.401;14.116;0.077;2.793;10.065;1.169;10.186;13.798;0.105;9.796;13.822;1.253;13.147;13.6;1.363;15.249;13.211;1.169;10.186;13.798;1.133;10.789;13.409;3.753;11.926;13.055;3.829;9.479;13.325;1.363;15.249;13.211;1.555;16.141;14.682
1.235;10.892;13.993;1.357;13.249;14.194;2.361;9.974;14.312;2.193;5.64;15.081;1.275;10.29;14.384;2.361;9.974;14.312;-0.5;14.993;14.503;-1.2;12.215;14.496;2.03;14.822;14.676;3.366;14.899;14.241;0.209;9.909;14.433;0.314;5.578;15.227;-1.2;12.215;14.496;-1.34;9.785;15.145;3.366;14.899;14.241;3.915;12.022;13.886;2.193;5.64;15.081;1.661;0.976;13.867;0.888;14.883;14.711;-0.5;14.993;14.503;0.314;5.578;15.227;0.203;2.517;11.507;1.275;10.29;14.384;0.209;9.909;14.433;1.357;13.249;14.194;1.459;15.355;13.821;1.275;10.29;14.384;1.235;10.892;13.993;3.915;12.022;13.886;3.989;9.611;14.385;1.459;15.355;13.821;1.63;16.231;15.304
1.328;10.95;14.543;1.451;13.305;14.759;2.454;10.024;14.839;2.255;5.643;15.246;1.372;10.348;14.934;2.454;10.024;14.839;-0.425;15.041;15.053;-1.109;12.264;14.893;2.104;14.88;15.262;3.449;14.974;14.857;0.305;9.975;15.006;0.457;5.76;16.273;-1.109;12.264;14.893;-1.299;9.795;15.352;3.449;14.974;14.857;4.069;12.094;14.716;2.255;5.643;15.246;1.636;1.028;13.892;0.96;14.932;15.281;-0.425;15.041;15.053;0.457;5.76;16.273;0.395;2.081;13.161;1.372;10.348;14.934;0.305;9.975;15.006;1.451;13.305;14.759;1.54;15.414;14.402;1.372;10.348;14.934;1.328;10.95;14.543;4.069;12.094;14.716;4.128;9.753;15.478;1.54;15.414;14.402;1.686;16.276;15.896
1.411;10.945;15.074;1.535;13.299;15.31;2.538;10.014;15.346;2.307;5.615;15.384;1.459;10.342;15.461;2.538;10.014;15.346;-0.36;15.025;15.591;-1.041;12.26;15.278;2.166;14.877;15.829;3.517;14.994;15.452;0.392;9.973;15.551;0.583;5.902;17.221;-1.041;12.26;15.278;-1.285;9.768;15.549;3.517;14.994;15.452;4.21;12.128;15.533;2.307;5.615;15.384;1.617;1.058;13.879;1.022;14.917;15.836;-0.36;15.025;15.591;0.583;5.902;17.221;0.644;1.608;15.034;1.459;10.342;15.461;0.392;9.973;15.551;1.535;13.299;15.31;1.608;15.411;14.967;1.459;10.342;15.461;1.411;10.945;15.074;4.21;12.128;15.533;4.237;9.893;16.57;1.608;15.411;14.967;1.732;16.261;16.469
